"Model","Y_feature","Site_Effect","Complexity","BIC","AIC"
"m3b","B4 Band Power","random","smooth_mean",5543.49853040412,5505.71491974247
"m3c","B4 Band Power","random","smooth_mean_var",5190.24844265026,5118.14993466639
"m3d","B4 Band Power","random","shash_constant",5164.49554779348,5088.05281229714
"m3e","B4 Band Power","random","shash_full",5175.97745861369,5080.43290685758
"m1a","B5 Band Power","none","linear",6956.39408940851,6943.12434851791
"m1b","B5 Band Power","none","smooth_mean",6244.85825296291,6206.43234390328
"m1c","B5 Band Power","none","smooth_mean_var",5724.57156712555,5663.01828455536
"m1d","B5 Band Power","none","shash_constant",5591.10634905723,5521.92355012061
"m1e","B5 Band Power","none","shash_full",5558.14161913675,5467.28132075216
"m2a","B5 Band Power","fixed","linear",6948.31909061556,6930.62610276142
"m2b","B5 Band Power","fixed","smooth_mean",6251.1686694909,6208.30960971703
"m2c","B5 Band Power","fixed","smooth_mean_var",5601.80355529698,5524.1390967424
"m2d","B5 Band Power","fixed","shash_constant",5530.65810901644,5452.59590181116
"m2e","B5 Band Power","fixed","shash_full",5548.05134586203,5433.93849087961
"m3a","B5 Band Power","random","linear",6947.94795903971,6930.55790635153
"m3b","B5 Band Power","random","smooth_mean",6244.86009727457,6206.43286859143
"m3c","B5 Band Power","random","smooth_mean_var",5601.63255728561,5524.19987290337
"m3d","B5 Band Power","random","shash_constant",5530.36047312774,5452.53845190337
"m3e","B5 Band Power","random","shash_full",5537.98360989876,5429.77423021276
"m1a","B6 Band Power","none","linear",6377.55556717342,6364.28582628281
"m1b","B6 Band Power","none","smooth_mean",5718.66057890422,5678.10278366055
"m1c","B6 Band Power","none","smooth_mean_var",5060.2564693555,4981.33736490454
"m1d","B6 Band Power","none","shash_constant",4566.42483053299,4497.39942834796
"m1e","B6 Band Power","none","shash_full",4543.86379732647,4440.43939413766
"m2a","B6 Band Power","fixed","linear",6383.79823515352,6366.10524729938
"m2b","B6 Band Power","fixed","smooth_mean",5648.70353499618,5602.17143378042
"m2c","B6 Band Power","fixed","smooth_mean_var",4662.15768441821,4581.83008418705
"m2d","B6 Band Power","fixed","shash_constant",4415.38650364298,4336.42899817131
"m2e","B6 Band Power","fixed","shash_full",4376.76417709944,4258.50776304201
"m3a","B6 Band Power","random","linear",6377.56372378573,6364.28803144761
"m3b","B6 Band Power","random","smooth_mean",5648.62844658822,5602.1732513725
"m3c","B6 Band Power","random","smooth_mean_var",4662.10088643583,4581.83459730382
"m3d","B6 Band Power","random","shash_constant",4415.20154931431,4336.27641821109
"m3e","B6 Band Power","random","shash_full",4385.83175418797,4260.95851883282
"m1a","B4 Band Relative Power","none","linear",-1699.24196425382,-1712.51170514442
"m1b","B4 Band Relative Power","none","smooth_mean",-2062.56113578242,-2099.8254458362
"m1c","B4 Band Relative Power","none","smooth_mean_var",-2114.47201970861,-2172.12150727199
"m1d","B4 Band Relative Power","none","shash_constant",-2160.68283822105,-2229.3269298916
"m1e","B4 Band Relative Power","none","shash_full",-2177.12152718653,-2275.43432210783
"m2a","B4 Band Relative Power","fixed","linear",-1717.92663148784,-1735.61961934197
"m2b","B4 Band Relative Power","fixed","smooth_mean",-2175.77376066279,-2218.40959904381
"m2c","B4 Band Relative Power","fixed","smooth_mean_var",-2236.83372256848,-2302.20864185143
"m2d","B4 Band Relative Power","fixed","shash_constant",-2261.87577918652,-2335.19736178998
"m2e","B4 Band Relative Power","fixed","shash_full",-2266.91360495094,-2369.30418771091
"m3a","B4 Band Relative Power","random","linear",-1718.13840010889,-1735.65865199238
"m3b","B4 Band Relative Power","random","smooth_mean",-2175.786789359,-2218.41351562991
"m3c","B4 Band Relative Power","random","smooth_mean_var",-2237.0105251324,-2302.26898030473
"m3d","B4 Band Relative Power","random","shash_constant",-2262.02661729387,-2335.26125118792
"m3e","B4 Band Relative Power","random","shash_full",-2275.69518220118,-2371.82600101194
"m1a","B5 Band Relative Power","none","linear",-2225.63668911617,-2238.90643000677
"m1b","B5 Band Relative Power","none","smooth_mean",-2353.25702176442,-2390.58930800065
