"Model","Y_feature","Site_Effect","Complexity","BIC","AIC","LogScore","LogScore_Censored","W_statistic","Skewness","Kurtosis","Mean_Z","SD_Z","norm_BIC","norm_AIC","norm_LogScore","norm_W","norm_Skew","norm_Kurt","norm_MeanZ","norm_SDZ","composite_score"
"m2a","B4 Surface Area","fixed","linear",8966.41444976693,8948.72146191279,-7.23052732635949,-7.07510443001349,0.990634196675419,0.11721841657404,0.619899476879706,0.0534772781974509,0.973512217941422,0.00722438035844286,0.0164019353191015,0.0403580574846739,0.707856181140228,0.875939185510199,0.386124919843517,0.0787717153529144,0.489937911686273,0.321226330873968
"m2b","B4 Surface Area","fixed","smooth_mean",8761.13885197841,8719.82133736163,-7.01093804080738,-6.87323922358769,0.982870199013088,0.427313103156457,0.973364418674227,0.036451411664422,0.948069494546933,0.532487528174595,0.534495820555322,0.67614734018763,0.221676344467825,0.238426251013646,0,0.372068426583069,0,0.364635205307907
"m2c","B4 Surface Area","fixed","smooth_mean_var",8578.69468517291,8514.15597884193,-6.89953577250317,-6.71539423273122,0.987689111478207,0.359227930887043,-0.0742929231914288,0.054049786029601,1.03204472998667,0.999329171260113,1,0.998696630689378,0.523435589785129,0.378400200414553,0.982145237274187,0.0689093882873647,0.382930520180765,0.724268356687902
"m2d","B4 Surface Area","fixed","shash_constant",8588.4514722899,8515.41797574724,-6.91266125633116,-6.74299485269912,0.980026304057287,0.50265686757802,0.0579483871532162,0.0580499742449154,1.04607795277707,0.974363316726716,0.997143588798353,0.960693674729373,0.0435922639131283,0.0835296132099491,1,0,0.112699705595781,0.563531483358021
"m2e","B4 Surface Area","fixed","shash_full",8609.83430582927,8515.52336850689,-6.92657067517096,-6.74993239472869,0.981126819848799,0.543286771423257,0.361912341567544,0.0562089222825718,1.04526659690158,0.919648510996676,0.996905042207652,0.920420947375041,0.112506322242739,0,0.667949933202201,0.031714948822821,0.128323583476492,0.523021118036491
"m3a","B4 Surface Area","random","linear",8965.82205371402,8948.61409067382,-7.23126211981632,-7.07606846605597,0.990785820941349,0.110582517726322,0.610622883765249,0.0531105827312502,0.974196126415117,0.00874021477255271,0.0166449600115146,0.0382305684148905,0.717350859532936,0.889581700298361,0.396258665370175,0.085088608184831,0.503107598130285,0.326790565847087
"m3b","B4 Surface Area","random","smooth_mean",8761.06082266545,8719.81099525119,-7.01142481705492,-6.8739163708105,0.983035084067365,0.421664991016297,0.966760912966986,0.0364103285491809,0.948569062766677,0.532687191081382,0.534519228948781,0.674737949376582,0.232001410528454,0.250038009294716,0.00721366622372621,0.372776146367195,0.00961993755665125,0.369107747384225
"m3c","B4 Surface Area","random","smooth_mean_var",8578.43252177697,8514.17414386813,-6.89908561402533,-6.71506958519648,0.987595030589956,0.360210881845647,-0.0784237670512527,0.0523032405081409,1.0315501668979,1,0.999958885173091,1,0.517544265125715,0.376379385556382,0.977632705575392,0.0989963184570727,0.392454076411503,0.725764730270773
"m3d","B4 Surface Area","random","shash_constant",8588.09730116371,8515.4294427912,-6.91330780339945,-6.72128744968221,0.979330161992997,0.513666436016337,0.0720297263975519,0.056485318201796,1.04652389969205,0.975269576616397,0.997117634223754,0.958821690421247,0,0.060895422472899,0.984617552282825,0.026953604432588,0.104112326923162,0.552147780326338
"m3e","B4 Surface Area","random","shash_full",8603.42371026201,8514.4881518764,-6.92063487910897,-6.72657933178219,0.980451474442928,0.515370880598148,0.157390976082044,0.0563946383497533,1.04611805060787,0.936052066233201,0.999248157604375,0.937607193557471,0.0702163405343556,0.0573913138439744,0.891368967218546,0.028515704213375,0.111927561545683,0.547306605551964
"m1a","B5 Surface Area","none","linear",9261.96107990116,9248.69133901056,-7.503172517122,-7.32216124218749,0.984911819429848,0.466007611362729,0.34025859233348,0.0460181033434652,1.00187310498598,0,0,0,0.677363454632011,0.263456608224908,0.946082340277943,0.565670664076941,0.973699330003316,0.371879335332707
"m1b","B5 Surface Area","none","smooth_mean",9113.30087498749,9079.4148751603,-7.28889533168835,-7.10981285596395,0.961264317751518,0.55364307765235,2.61043142389471,-0.012966583025632,0.930891485954062,0.361064283311941,0.348205452077762,0.467624596809109,0,0.117988422089301,0.0658267014904691,0.877618437407553,0.0296324896448733,0.268930438953298
"m1c","B5 Surface Area","none","smooth_mean_var",8888.39103781269,8841.24550956836,-7.12377338675751,-6.93761180865376,0.981968394914987,0.215291444767456,1.75634607591987,-0.0749439262620069,0.982808248477056,0.907322841320018,0.838125135716558,0.827975992905492,0.593051453095648,0.679626311355778,0.396996836692723,0.292662162064824,0.758606919071153,0.690623924859935
"m1d","B5 Surface Area","none","shash_constant",8869.53754040892,8817.06652773052,-7.10802421152345,-6.93742178817124,0.995816614595483,-0.038552064504575,0.381817483420628,-0.0756652240702655,0.997135657372533,0.953114010059263,0.887861839273137,0.862345968897083,0.989722444005421,0.973000194717171,0.929967951226755,0.285854389138472,0.959781149072721,0.885886447976936
"m1e","B5 Surface Area","none","shash_full",8884.43810560899,8803.79555822237,-7.10099046759519,-6.94648365024607,0.995742221080329,-0.13492365361253,0.39884703548926,-0.0824852637139064,1.00173653128602,0.916923679916586,0.915160518794132,0.877695954299655,0.987591502263162,0.813030711400797,0.923364771492581,0.221485302318815,0.975616990700319,0.865534315445237
